"","state","x","top_cat"
"1","AK",3172,"american"
"2","AL",2073,"american"
"3","AR",1691,"american"
"4","AZ",10118,"american"
"5","CA",42671,"breakfast & brunch"
"6","CO",13553,"sandwiches"
"7","CT",1022,"american"
"8","DC",19349,"sandwiches"
"9","DE",1307,"lounges"
"10","FL",7797,"american"
"11","GA",10374,"american"
"12","HI",11326,"american"
"13","IA",2785,"pizza"
"14","ID",3043,"gastropubs"
"15","IL",20022,"american"
"16","IN",5151,"american"
"17","KS",1196,"sandwiches"
"18","KY",3490,"american"
"19","LA",18293,"sandwiches"
"20","MA",13341,"italian"
"21","MD",6729,"american"
"22","ME",4472,"american"
"23","MI",5053,"vegan"
"24","MN",4622,"breakfast & brunch"
"25","MO",4981,"cheesesteaks"
"26","MS",650,"american"
"27","MT",751,"american"
"28","NC",5534,"american"
"29","ND",605,"american"
"30","NE",2614,"american"
"31","NH",1863,"american"
"32","NJ",2257,"american"
"33","NM",3540,"american"
"34","NV",22784,"american"
"35","NY",21458,"barbeque"
"36","OH",5295,"vegetarian"
"37","OK",2761,"american"
"38","OR",16254,"breakfast_brunch"
"39","PA",8080,"american"
"40","RI",4852,"american"
"41","SC",1721,"american"
"42","SD",623,"american"
"43","TN",3509,"american"
"44","TX",9076,"american"
"45","UT",7401,"american"
"46","VA",3532,"sandwiches"
"47","VT",1849,"american"
"48","WA",2614,"american"
"49","WI",5188,"american"
"50","WV",595,"american"
"51","WY",714,"american"
